fullInfo,itemName,skinName,skinRarity,floatValue,price,tradeLock,skinDiscount,webpage,previewImage
★ Butterfly Knife | Doppler (Factory New),Butterfly Knife,Doppler (Phase 4),Factory New ★ Covert Knife,0.033,1049.00,4 days,− 45%,https://skinport.com/item/butterfly-knife-doppler-factory-new/4412997,https://steam.skinport.com/economy/image/class/730/2221549554/256x128
★ M9 Bayonet | Marble Fade (Factory New),M9 Bayonet,Marble Fade,Factory New ★ Covert Knife,0.029,679.99,Tradable,− 13%,https://skinport.com/item/m9-bayonet-marble-fade-factory-new/4322052,https://steam.skinport.com/economy/image/class/730/721233508/256x128
★ Bayonet | Tiger Tooth (Factory New),Bayonet,Tiger Tooth ,Factory New ★ Covert Knife,0.032,309.99,3 days,− 18%,https://skinport.com/item/bayonet-tiger-tooth-factory-new/4396929,https://steam.skinport.com/economy/image/class/730/3943647057/256x128
★ Bayonet | Doppler (Factory New),Bayonet,Doppler (Ruby),Factory New ★ Covert Knife,0.016,3299.42,Tradable,− 38%,https://skinport.com/item/bayonet-doppler-factory-new/4084425,https://steam.skinport.com/economy/image/class/730/4554826042/256x128
★ Specialist Gloves | Fade (Field-Tested),Specialist Gloves,Fade,Field-Tested ★ Extraordinary Gloves,0.374,274.23,Tradable,− 18%,https://skinport.com/item/specialist-gloves-fade-field-tested/3260817,https://steam.skinport.com/economy/image/class/730/4471573931/256x128
AWP | Asiimov (Field-Tested),AWP,Asiimov,Field-Tested Covert Sniper Rifle,0.354,68.13,Tradable,− 7%,https://skinport.com/item/awp-asiimov-field-tested/4347820,https://steam.skinport.com/economy/image/class/730/360479494/256x128
★ Karambit | Marble Fade (Factory New),Karambit,Marble Fade ,Factory New ★ Covert Knife,0.031,778.42,Tradable,− 16%,https://skinport.com/item/karambit-marble-fade-factory-new/4322273,https://steam.skinport.com/economy/image/class/730/4512957378/256x128
★ Bayonet | Doppler (Factory New),Bayonet,Doppler (Phase 3),Factory New ★ Covert Knife,0.008,334.53,Tradable,− 36%,https://skinport.com/item/bayonet-doppler-factory-new/4345449,https://steam.skinport.com/economy/image/class/730/720847865/256x128
Operation Breakout Weapon Case,Container,Operation Breakout Weapon Case,Base Grade Container,None,1.53,Tradable,− 5%,https://skinport.com/item/operation-breakout-weapon-case/4315564,https://steam.skinport.com/economy/image/class/730/520025252/256x128
★ Huntsman Knife | Doppler (Factory New),Huntsman Knife,Doppler (Ruby),Factory New ★ Covert Knife,0.032,919.00,Tradable,− 39%,https://skinport.com/item/huntsman-knife-doppler-factory-new/4277198,https://steam.skinport.com/economy/image/class/730/2221746263/256x128
★ Butterfly Knife | Doppler (Factory New),Butterfly Knife,Doppler (Phase 1),Factory New ★ Covert Knife,0.032,935.67,4 days,− 35%,https://skinport.com/item/butterfly-knife-doppler-factory-new/4410207,https://steam.skinport.com/economy/image/class/730/2221441359/256x128
★ Butterfly Knife | Doppler (Factory New),Butterfly Knife,Doppler (Sapphire),Factory New ★ Covert Knife,0.049,11630.28,Tradable,− 20%,https://skinport.com/item/butterfly-knife-doppler-factory-new/4285644,https://steam.skinport.com/economy/image/class/730/2221339417/256x128
★ Skeleton Knife | Fade (Factory New),Skeleton Knife,Fade (82%),Factory New ★ Covert Knife,0.059,1288.14,Tradable,− 24%,https://skinport.com/item/skeleton-knife-fade-factory-new/4292152,https://steam.skinport.com/economy/image/class/730/4566769149/256x128
★ Karambit | Gamma Doppler (Factory New),Karambit,Gamma Doppler (Phase 1),Factory New ★ Covert Knife,0.057,629.53,Tradable,− 30%,https://skinport.com/item/karambit-gamma-doppler-factory-new/4234459,https://steam.skinport.com/economy/image/class/730/4563137921/256x128
★ Huntsman Knife | Marble Fade (Factory New),Huntsman Knife,Marble Fade,Factory New ★ Covert Knife,0.044,165.44,6 days,− 22%,https://skinport.com/item/huntsman-knife-marble-fade-factory-new/4456681,https://steam.skinport.com/economy/image/class/730/2220262540/256x128
